,headline,sort_rank,url,date,year,month,day,hour,minute,domain,article_text
0,Kim Jong-un’s strategy may be to separate Trump from advisers,1,https://www.msnbc.com/am-joy/watch/trump-meeting-with-kim-jong-un-on-north-korean-soil-sparks-anger-62982725706,2019-06-30,2019,6,30,15,38,am-joy,"[<p class=""dekText___2NzAW"">Donald Trump called stepping across the demilitarized zone into North Korea, and shaking the hand of the reportedly murderous dictator Kim Jong-un, ‘a great honor.’ Joy Reid and her panel discuss what many perceive as the negative implications of this rushed diplomatic event.<span class=""byline___3V_nz"">June 30, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
1,Trump on possible Kim meeting: 'We will not call it a summit',2,https://www.msnbc.com/david-gura/watch/trump-on-possible-kim-meeting-we-will-not-call-it-a-summit-62942789993,2019-06-30,2019,6,30,15,38,david-gura,"[<p class=""dekText___2NzAW"">President Trump discusses a possible meeting with Kim Jong Un on the DMZ during his visit to South Korea.  MSNBC’s David Gura discusses with a panel of guests.<span class=""byline___3V_nz"">June 29, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
2,Trump becomes first sitting U.S. president to step into North Korea,3,https://www.nbcnews.com/politics/donald-trump/trump-kim-jong-un-meet-dmz-n1025041,2019-06-30,2019,6,30,15,38,donald-trump,"[<p class=""endmarkEnabled"">SEOUL, South Korea — Taking an unprecedented step onto North Korean soil, President Donald Trump announced Sunday that Washington and Pyongyang will relaunch stalled nuclear talks. The statement came during an <a class=""vilynx_listened"" href=""https://www.nbcnews.com/politics/politics-news/trump-tweets-invitation-kim-jong-un-meet-demilitarized-zone-n1024861"" target=""_blank"">extraordinary last-minute meeting with Kim Jong Un</a>, the North Korean leader.</p>, <p class=""endmarkEnabled"">Side-by-side with Kim in the heavily-fortified demilitarized zone, Trump became the first sitting U.S. president to cross the 1953 armistice line separating North and South Korea, then joined Kim for a roughly 50-minute meeting.</p>, <p class=""endmarkEnabled"">It was their third since Trump took office, but none have yet yielded a nuclear deal.</p>, <p class=""endmarkEnabled"">""Stepping across that line was a great honor,"" Trump said, later adding that it was ""something incredible.""</p>, <p class=""endmarkEnabled"">Trump deemed the meeting a victory, announcing that nuclear talks would resume ""within weeks"" and that the two countries were designating teams of officials to take the lead.</p>, <p class=""endmarkEnabled"">He even invited Kim, who rarely leaves the country, to visit him at the White House.</p>, <p class=""endmarkEnabled"">Yet for all the fanfare, there were no signs that the U.S. and the North had made any concrete <a class=""vilynx_listened"" href=""https://www.nbcnews.com/news/world/trump-s-iran-policy-deepening-mistrust-north-korea-experts-say-n1021901"" target=""_blank"">progress on denuclearization</a>, the issue that has led to North Korea's estrangement from the world.</p>, <p class=""endmarkEnabled"">And veteran nuclear negotiators and North Korea experts immediately questioned whether Trump, by staging a high-profile photo-op absent nuclear concessions, was bestowing legitimacy on Kim and undermining global pressure to force the North to accept a denuclearization deal.</p>, <p class=""endmarkEnabled"">""We can only call it historic if it leads to something,"" said Victor Cha, a former Asia director at the White House and an NBC News contributor.</p>, <p class=""endmarkEnabled"">The meeting capped an unpredictable three days of diplomacy in which Trump, while in nearby Japan for the G-20 summit of world leaders,<a class=""vilynx_listened"" href=""https://www.nbcnews.com/politics/politics-news/trump-tweets-invitation-kim-jong-un-meet-demilitarized-zone-n1024861"" target=""_blank""> issued an invitation to Kim on Twitter to meet him in the DMZ</a>.</p>, <p class=""endmarkEnabled"">North Korea reacted positively, calling the proposal ""interesting,"" but did not confirm that Kim would accept until the last minute.</p>, <p class=""endmarkEnabled"">Even as Trump traveled by helicopter to the DMZ accompanied by a massive security contingent, U.S. officials had told NBC News they were unsure whether Kim would really show up.</p>, <p class=""endmarkEnabled"">And when he did, his handshake with Trump and their ensuing talks unfolded in chaotic fashion under overcast skies. Journalists jostled to capture the historic encounter and even White House officials accompanying the president seemed unsure what would happen next.</p>, <p class=""endmarkEnabled"">""This means that we can feel at ease,"" Kim said of the meeting through a translator. ""I believe that this will have a positive force on all of our discussions in the future.""</p>, <p class=""endmarkEnabled"">In a nod to the unforeseen nature of their rendezvous in the DMZ, Kim told Trump that he ""never expected” to see the president “at this place.""</p>, <p class=""endmarkEnabled"">Trump and South Korean President Moon Jae-in landed mid-afternoon in the DMZ and rushed to a vista overlooking North Korea. Sean Morrow, commander of the U.N. Security Battalion, briefed Trump about the security situation, gesturing toward North Korean territory.</p>, <p class=""endmarkEnabled"">Minutes later, Trump and Kim were side by side posing for photos and taking a step together over the line into North Korea. They then spoke briefly to reporters inside a nearby room before holding talks that Trump had predicted would last just a few minutes but went on for close to an hour.</p>, <p class=""endmarkEnabled"">Both leaders predicted it would lead to better things to become between their two countries.</p>, <p class=""endmarkEnabled"">Of striking a nuclear deal, Trump said: ""We're not looking for speed, we're looking to get it right.""</p>, <p class=""endmarkEnabled"">Trump was already the first U.S. president to meet a North Korean leader while in office, having met with Kim twice before. This marks the first meeting in the no-man’s-land between North and South since the end of the Korean War.</p>, <p class=""endmarkEnabled""><a class=""vilynx_listened"" href=""https://www.nbcnews.com/politics/donald-trump/trump-begins-one-one-kim-jong-un-tempering-expectations-n977466"" target=""_blank"">Trump’s last summit with Kim — in Hanoi, Vietnam, in February — collapsed abruptly</a>, with a planned signing ceremony scrapped and Trump explaining to reporters that “sometimes you have to walk.”</p>, <p class=""endmarkEnabled"">At the center of that failure, U.S. officials have said, was Kim’s insistence that all nuclear sanctions be lifted in exchange for only some concessions sought by the U.S. from Pyongyang related to its nuclear program.</p>, <p class=""endmarkEnabled"">But a senior Trump administration official told NBC News ahead of the meeting Sunday that the administration was hoping that even a handshake might jump-start negotiations at a lower level led by Stephen Biegun, the U.S. special representative for North Korea.</p>, <p class=""endmarkEnabled"">Those talks could then focus on making more substantive progress on the nuclear issues.</p>, <p class=""endmarkEnabled"">Indeed, Trump said after the meeting that Biegun and Secretary of State Mike Pompeo would be handling the relaunched nuclear talks between the countries.</p>, <p class=""endmarkEnabled"">And while Trump said that sanctions on the North would remain in place for now, he seemed to leave open the possibility that some could be removed during the talks, a shift from the longstanding U.S. position that all sanctions remain in place until a denuclearization deal is struck.</p>, <p class=""endmarkEnabled"">""At some point during the negotiation, things can happen,"" Trump said.</p>, <p class=""endmarkEnabled"">National security hawks and many of Trump’s critics have warned that such meetings plays into Kim's hands, boosting him domestically and providing room for Pyongyang to continue to stall while it moves ahead with its nuclear program.</p>, <p class=""endmarkEnabled"">North Korea is believed to have dozens of nuclear warheads and the ability to mount them on missiles, but has yet to prove it can deliver those nuclear-tipped missiles successfully to distances as remote as the U.S. mainland.</p>, <p class=""endmarkEnabled"">Yet Trump projected no sense of urgency on Sunday as he argued there was plenty of time to reach a deal with North Korea, echoing an argument he'd made about resolving the Iran nuclear issue the day before.</p>, <p class=""endmarkEnabled"">“I’m never in a rush,” Trump said. “If you’re in a rush, you get yourself in trouble.”</p>, <p class=""endmarkEnabled"">Both Trump and Kim offered invitations to the other to visit their capitals, with Trump saying, ""I’ll invite him to the White House right now.” Kim said it would be a “great honor” if Trump visited Pyongyang.</p>, <p class=""endmarkEnabled"">Neither of those are likely to occur in the short term given the immense logistical and security challenges of arranging such a visit between countries that do not have diplomatic relations.</p>, <p class=""endmarkEnabled"">Yet as he talked up his own diplomatic achievements, Trump took significant liberties with history.</p>, <p class=""endmarkEnabled"">He said inaccurately that former President Barack Obama had wanted to meet with Kim but been rejected. He also claimed that tensions with the North had dissipated as soon as he took office, when in fact Trump engaged in a war of words with the North — including his threat to unleash “fire and fury” — that caused significant alarm across Asia and beyond.</p>, <p class=""endmarkEnabled"">""We’ve had peace for two and a half years,"" Trump said Sunday.</p>, <p class=""endmarkEnabled"">The president also glossed over reports that <a class=""vilynx_listened"" href=""https://www.nbcnews.com/news/world/north-korea-s-kim-jong-un-carrying-out-purge-after-n1012251"" target=""_blank"">Kim had ordered some of his negotiators executed</a> following the failed Hanoi summit. Asked whether they were still alive, Trump said ""I think they are,"" adding that the main person the U.S. was familiar with was still living.</p>, <p class=""endmarkEnabled"">""I would hope the rest are too,"" Trump said. ""I would really hope the rest are too. ""</p>, <p class=""endmarkEnabled"">Earlier, standing with Moon at the Blue House, South Korea’s equivalent of the White House, Trump said that he and Kim “understand each other, I do believe.”</p>, <p class=""endmarkEnabled"">He said that both he and Kim wanted to hold the meeting “from the beginning.”</p>, <p class=""endmarkEnabled"">“He understands me, and I believe I maybe understand him,” Trump said. “Sometimes that can lead to very good things.”</p>, <p class=""endmarkEnabled"">Moon, a liberal in South Korea’s political world who has pushed hard for more engagement with the North, had said ahead of the Trump-Kim meeting that he planned to let the two leaders meet privately, saying that ""as for an inter-Korean dialogue, this will happen a later time.""</p>, <p class=""endmarkEnabled"">North Korea, after all, had publicly admonished South Korea for trying to mediate between it and the U.S.</p>, <p class=""endmarkEnabled"">But in the end, Moon did join the U.S. and North Korean leaders for part of their meeting.</p>, <p class=""endmarkEnabled"">Former NBA star Dennis Rodman, who has played an unusual role in U.S.-North Korea diplomacy, wrote on Twitter that he was wishing ""my friends"" Trump and Kim ""a very good meeting.""</p>, <p class=""endmarkEnabled"">""Much love to you both and keep up the wonderful progress!"" Rodman wrote, appending the hashtag: ""#PEACEANDLOVE.""</p>, <p class=""articleByline__bio bio___3q2CD publico-txt f2 lh-copy mt3 mt0-m ml9-m"">Josh Lederman is a national political reporter for NBC News.</p>, <p class=""articleByline__bio bio___3q2CD publico-txt f2 lh-copy mt3 mt0-m ml9-m"">Hans Nichols is NBC News' Pentagon correspondent. </p>, <p>© 2019 NBC UNIVERSAL</p>]"
3,LGBTQ community focusing on new vision of liberation,4,https://www.msnbc.com/msnbc/watch/lgbtq-community-focusing-on-new-vision-of-liberation-62979141768,2019-06-30,2019,6,30,15,38,watch,"[<p class=""dekText___2NzAW"">NBC’s Raquel Willis weighs in on the 1969 Stonewall uprising 50 years later and explains the difference between two marches taking place this weekend, the official world pride parade and the reclaim pride march.<span class=""byline___3V_nz"">June 30, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
4,Kamala Harris at Pride parade: We want champions for equality,5,https://www.msnbc.com/msnbc/watch/kamala-harris-attends-pride-parade-in-san-francisco-62985285593,2019-06-30,2019,6,30,15,38,watch,"[<p class=""dekText___2NzAW"">2020 presidential candidate Kamala Harris attends the annual Pride parade in her hometown of San Francisco. NBC’s Vaughn Hillyard catches up with Harris to discuss the significance of pride.<span class=""byline___3V_nz"">June 30, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
5,2020 candidates fight off racist remarks against Harris,6,https://www.msnbc.com/david-gura/watch/2020-candidates-fight-off-racist-remarks-against-harris-62981189717,2019-06-30,2019,6,30,15,38,david-gura,"[<p class=""dekText___2NzAW"">2020 Democratic presidential candidates are putting aside their differences to support Senator Kamala Harris, who was targeted with racist remarks on social media.<span class=""byline___3V_nz"">June 30, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
6,Rep. Ilhan Omar on border crisis: Our values are suffering,7,https://www.msnbc.com/am-joy/watch/rep-ilhan-omar-discusses-democrats-split-on-border-funding-bill-62983237720,2019-06-30,2019,6,30,15,38,am-joy,"[<p class=""dekText___2NzAW"">Rep. Ilhan Omar joins AM JOY discussing America’s immigration crisis and the Democrats’ split over the emergency border funding bill, telling Joy Reid, ‘To me it is really about people who are thinking, what is politically expedient.’<span class=""byline___3V_nz"">June 30, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
7,Albright 'appalled’ at smiling Trump telling Putin don't meddle in election,8,https://www.msnbc.com/andrea-mitchell-reports/watch/madeleine-albright-reacts-to-smiling-trump-telling-putin-don-t-meddle-in-the-election-62882373646,2019-06-30,2019,6,30,15,38,andrea-mitchell-reports,"[<p class=""dekText___2NzAW"">Former Secretary of State Madeleine Albright joins Andrea Mitchell to talk about President Trump's latest meeting with Vladimir Putin.<span class=""byline___3V_nz"">June 28, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
8,Supreme Court ruling could entrench GOP political power,9,https://www.msnbc.com/am-joy/watch/supreme-court-allows-partisan-gerrymandering-to-continue-62948421747,2019-06-30,2019,6,30,15,38,am-joy,"[<p class=""dekText___2NzAW"">This week the Supreme Court issued two major rulings that could have a profound effect on our Democracy and the power of the individual vote. Joy Reid is joined by Sherrilyn Ifill, president and director-counsel of the NAACP Legal Defense and Educational Fund, to discuss.<span class=""byline___3V_nz"">June 29, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
9,Emily Jane Fox: 'I think it's going to take a woman to beat Trump',10,https://www.msnbc.com/saturday-night-politics/watch/emily-jane-fox-i-think-it-s-going-to-take-a-woman-to-beat-trump-62903877840,2019-06-30,2019,6,30,15,38,saturday-night-politics,"[<p class=""dekText___2NzAW"">Donny Deutsch, Joy Behar, Emily Jane Fox, and Jackie Alemany, discuss the female candidates in the 2020 presidential race and whether they will be more likely to beat President Trump.<span class=""byline___3V_nz"">June 28, 2019</span></p>, <p class=""dek___31reR""></p>, <p>© 2019 NBC UNIVERSAL</p>]"
